"TIV of arms exports to China, 1980-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 04 April 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,170
,Canada,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,France,,,3,15,,,,27,38,78,62,90,89,113,117,141,141,97,102,148,132,149,186,172,264,218,183,190,201,169,193,208,223,210,204,173,4335
,Germany (FRG),7,2,12,12,12,12,12,12,12,12,12,12,12,16,12,12,18,8,8,14,8,8,6,8,16,16,12,10,3,3,3,3,3,11,9,12,360
,Israel,,,,,,,,,,,28,28,28,28,28,28,28,28,38,38,28,28,,,,,,,,,,,,,,,350
,Italy,,,,,,,5,9,5,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,26
,Japan,,,,,,,,,,15,30,,,,,,,,,,,,,,,,,,,,,,,,,,45
,Russia,,,,,,,,,,,,,1023,1011,72,498,1241,732,174,1462,2231,2484,2526,2076,2888,3107,2472,1324,1529,1102,744,811,741,870,714,824,32654
,Soviet Union,,,,,,,,,,,81,260,,,,,,,,,,,,,,,,,,,,,,,,,341
,Switzerland,,,,,,,,,,,,,,,,,,33,33,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,33,1138
,Ukraine,,,,,,,,,,,,,18,18,11,,65,3,8,18,29,41,58,3,33,82,128,64,54,28,,,632,86,152,98,1628
,United Kingdom,,,,,,,,5,,,,,,,,,,,20,40,60,60,50,50,50,70,40,40,40,40,40,40,40,40,40,40,805
,United States,,,,,59,98,,,16,,,,,0,35,2,2,,,,,,,,,,,,,,,,,,,,211
,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,7,2,15,27,73,115,17,53,71,110,214,392,1169,1187,274,680,1494,900,382,1785,2552,2833,2891,2373,3316,3558,2900,1692,1892,1407,1045,1128,1703,1452,1184,1214,42105
