"TIV of arms exports to Myanmar, 1980-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 04 April 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Bulgaria,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,7
,Canada,2,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,7
,China,,,,,,,,,,34,217,182,14,323,93,176,118,197,156,116,3,50,9,57,74,23,10,2,10,17,5,277,329,178,267,288,3222
,Denmark,18,,36,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,57
,Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,8,9
,India,,,,,,,,,,,,,,,,,,,,,5,,,,,,9,3,4,,,,,,,15,36
,Israel,,,,,,,,,,,,,,,,,,,,,9,2,,2,,,,,20,20,20,1,,,,,73
,North Korea,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,11
,Poland,,,,,,,,,,,26,15,16,,,,,,,,,,,,,,,,,,,,,,,,57
,Russia,,,,,,,,,,,,,,,,47,,34,,,,87,134,,120,137,151,127,14,14,38,377,149,60,34,6,1527
,Serbia,,,,,,,,,,,,,,,,,,,,,,10,,,,,5,5,45,,,,,,,,65
,Switzerland,4,,,,,,6,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,14
,Ukraine,,,,,,,,,,,,,,,,,,,,7,,,15,23,,,,1,,1,,7,,,,4,58
,United Kingdom,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,5
,United States,17,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
,Unknown country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
,Yugoslavia,,,,,,,,,,,17,32,32,,,,,,,,,,,,,,,,,,,,,,,,81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,41,,39,,,,8,,,34,266,232,65,323,97,223,118,231,156,141,16,149,157,83,194,160,175,138,93,52,63,664,478,237,300,320,5250
