"TIV of arms exports to Syria, 1980-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 04 April 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Belarus,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,172,,,,,,,,196
,Bulgaria,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,11
,China,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,56,15,,,,5,,81
,Czechoslovakia,164,30,32,76,86,28,4,,,,,276,198,,,,,,,,,,,,,,,,,,,,,,,,893
,France,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,40,45,45,86,20,10,10,,310
,Libya,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137
,North Korea,,5,7,7,5,,,,,,,22,22,22,18,35,35,35,35,35,55,20,20,20,20,20,20,20,20,20,,,,,,,515
,Pakistan,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
,Poland,,,,,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
,Russia,,,,,,,,,,,,,14,10,,,,,20,23,9,8,25,25,5,15,26,,44,72,238,282,351,351,,,1517
,Slovakia,,,,,,,,,,,,,,142,,,,,,,,,,,,,,,,,,,,,,,142
,Soviet Union,1782,1303,1775,2194,1739,1556,1019,1357,1260,628,739,24,,,,,,,,,,,,,,,,,,,,,,,,,15377
,United Kingdom,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,1956,1348,1952,2278,1839,1602,1023,1357,1260,628,739,321,243,173,19,35,35,35,55,58,64,28,45,69,25,35,100,20,276,193,298,368,371,361,15,,19224
